awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
RET Site: Physically and Biologically Inspired Computational Models and Systems,02/15/2016,01/31/2019,597047,Standard Grant,02/25/2016,02/25/2016,,1609394,Harriet G. Taylor,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Notre Dame,NOTRE DAME,465565708,5746317432,940 Grace Hall,United States,Indiana,IN
PFI:AIR - TT: Integrated Bidirectional Power Electronic Charger/Converter for Plug-in Electric Vehicles,05/01/2016,10/31/2017,200000,Standard Grant,03/14/2016,03/14/2016,,1602012,Barbara H. Kenny,07070000,Directorate For Engineering,Directorate For Engineering,University of Maryland College Park,COLLEGE PARK,207425141,3014056269,3112 LEE BLDG 7809 Regents Drive,United States,Maryland,MD
"Conference: Evolution Equations on Singular Spaces; Luminy, France; April 25-29, 2016",03/01/2016,02/28/2017,10500,Standard Grant,11/05/2015,11/05/2015,,1600014,Edward Taylor,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Northwestern University,Evanston,602013149,8474913003,1801 Maple Ave.,United States,Illinois,IL
"Conference: A Strategic Planning Workshop to Explore Quantitative Biology as a Vehicle for Broadening Participation to be held at Spelman College on March 11 and 12, 2016",12/15/2015,11/30/2016,40939,Standard Grant,11/15/2015,11/15/2015,,1602594,Susanne von Bodman,08070000,Direct For Biological Sciences,Direct For Biological Sciences,Spelman College,Atlanta,303144399,4042705897,350 Spelman Lane SW,United States,Georgia,GA
"Eastern Illinois Integrated Conference in Geometry, Dynamics, and Topology",04/01/2016,03/31/2017,13170,Standard Grant,01/22/2016,01/22/2016,,1611960,Shuguang Wang,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Eastern Illinois University,Charleston,619203099,2175812125,600 Lincoln Avenue,United States,Illinois,IL
DISSERTATION RESEARCH: The evolution of major life-history transitions: a transcriptomic analysis of developmental shifts in echinoids,06/01/2016,05/31/2018,20258,Standard Grant,04/01/2016,04/01/2016,,1600965,Janice Bossart,08010207,Direct For Biological Sciences,Direct For Biological Sciences,University of California-Davis,Davis,956186134,5307547700,OR/Sponsored Programs,United States,California,CA
DISSERTATION RESEARCH: Assessing urbanization impacts on canopy epiphyte biodiversity and function in Pacific Northwest forests.,06/01/2016,05/31/2017,17588,Standard Grant,03/17/2016,03/17/2016,,1601788,Karina Schafer,08010209,Direct For Biological Sciences,Direct For Biological Sciences,Portland State University,Portland,972070751,5037259900,1600 SW 4th Ave,United States,Oregon,OR
Collaborative Research: Enhancing Curriculum and Faculty Development on Information Assurance and Security through Real World Relevant Portable Laboratory,06/30/2015,08/31/2017,154314,Standard Grant,12/29/2015,12/29/2015,,1623724,Paul Tymann,11010000,Direct For Education and Human Resources,Direct For Education and Human Resources,Kennesaw State University Research and Service Foundation,Kennesaw,301445591,4705786381,1000 Chastain Road,United States,Georgia,GA
Collaborative Research: Extreme Events and Ecological Acclimation: Scaling from Cells to Ecosystems,07/01/2015,05/31/2017,29761,Standard Grant,10/22/2015,10/22/2015,,1602131,Elizabeth R. Blood,08040000,Direct For Biological Sciences,Direct For Biological Sciences,Northern Arizona University,Flagstaff,860110001,9285230886,"ARD Building #56, Suite 240",United States,Arizona,AZ
I-Corps: HeartMapp. A mobile app for patients with Heart Failure,03/15/2016,08/31/2016,50000,Standard Grant,03/07/2016,03/07/2016,,1633650,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of South Florida,Tampa,336129446,8139742897,3702 Spectrum Blvd.,United States,Florida,FL
Northwest Algal and Seagrass Symposium: A focus on algal biofuels,05/01/2016,10/31/2016,8415,Standard Grant,04/13/2016,04/13/2016,,1637721,Gregory Rorrer,07020000,Directorate For Engineering,Directorate For Engineering,Seattle Pacific University,Seattle,981191957,2062812174,3307 3rd Avenue West,United States,Washington,WA
CAREER: An Integrated Proposal Based on The Corona Problem,10/01/2015,07/31/2016,36570,Continuing grant,11/23/2015,11/23/2015,,1603246,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Washington University,SAINT LOUIS,631304899,3147474134,CAMPUS BOX 1054,United States,Missouri,MO
2016 Conference Support for the 5th International Conference on Engineering Frontiers in Pediatric and Congenital Heart Disease,03/01/2016,02/28/2017,20020,Standard Grant,02/29/2016,02/29/2016,,1613079,Alexander Leonessa,07020000,Directorate For Engineering,Directorate For Engineering,University of Central Florida,ORLANDO,328168005,4078821120,4000 CNTRL FLORIDA BLVD,United States,Florida,FL
NNCI Coordinating Office at Georgia Tech,04/01/2016,03/31/2021,700000,Cooperative Agreement,03/23/2016,03/23/2016,,1626153,Lawrence S. Goldberg,07010000,Directorate For Engineering,Directorate For Engineering,Georgia Tech Research Corporation,Atlanta,303320420,4048944819,Office of Sponsored Programs,United States,Georgia,GA
PostDoctoral Research Fellowship,06/01/2016,05/31/2020,150000,Fellowship,03/24/2016,03/24/2016,,1606270,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Holmes Irina,Conyers,30013,None,None,United States,Georgia,GA
EAGER: How predictable is the evolving genomic architecture of speciation?,06/01/2016,05/31/2018,299749,Standard Grant,02/26/2016,02/26/2016,,1627483,Leslie Rissler,08010207,Direct For Biological Sciences,Direct For Biological Sciences,University of Colorado at Boulder,Boulder,803031058,3034926221,"3100 Marine Street, Room 481",United States,Colorado,CO
"HCC: Small: Exploring the Emergent Dynamics Between Nonprofit Organizations and a Technologically-Enabled, Innovative Public",12/01/2015,09/30/2016,189535,Continuing grant,01/15/2016,01/15/2016,,1602660,William Bainbridge,05020000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Colorado at Boulder,Boulder,803031058,3034926221,"3100 Marine Street, Room 481",United States,Colorado,CO
PostDoctoral Research Fellowship,09/15/2016,08/31/2020,150000,Fellowship,03/24/2016,03/24/2016,,1606434,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Gimre Karsten T,New York,10027,None,None,United States,New York,NY
PostDoctoral Research Fellowship,09/01/2016,08/31/2020,150000,Fellowship,03/24/2016,03/24/2016,,1604623,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Jao Casey,Los Angeles,90024,None,None,United States,California,CA
EAGER: A Novel Bioprocess for the Valorization of Waste and Biomass,03/15/2016,02/28/2018,113339,Standard Grant,03/04/2016,03/04/2016,,1600075,William Cooper,07020000,Directorate For Engineering,Directorate For Engineering,Kansas State University,MANHATTAN,665061103,7855326804,2 FAIRCHILD HALL,United States,Kansas,KS
Collaborative Research: The role of floral secondary compounds in bee performance and disease transmission in a natural ecosystem,02/25/2016,05/31/2017,59049,Standard Grant,04/05/2016,04/05/2016,,1638866,Douglas Levey,08010208,Direct For Biological Sciences,Direct For Biological Sciences,North Carolina State University,RALEIGH,276957514,9195152444,CAMPUS BOX 7514,United States,North Carolina,NC
"Fourteenth East Coast Operator Algebras Symposium; Loyola University of Chicago; October 1-2, 2016",07/01/2016,06/30/2017,33998,Standard Grant,11/24/2015,11/24/2015,,1603387,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Loyola University of Chicago,CHICAGO,606601537,7735082471,1032 W. Sheridan Road,United States,Illinois,IL
ORTHOGONAL POLYNOMIALS AND SPECIAL FUNCTIONS SUMMER SCHOOL,06/01/2016,05/31/2017,45000,Standard Grant,11/17/2015,11/17/2015,,1600903,Edward Taylor,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Maryland College Park,COLLEGE PARK,207425141,3014056269,3112 LEE BLDG 7809 Regents Drive,United States,Maryland,MD
A Workshop on Science Challenges in Low Temperature Plasma Science and Engineering: Enabling a Future Based on Electricity through Non-Equilibrium Plasma Chemistry,04/15/2016,03/31/2017,35765,Standard Grant,04/06/2016,04/06/2016,,1613074,triantafillos mountziaris,07020000,Directorate For Engineering,Directorate For Engineering,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
RAPID: Extreme Flooding Mobilized Natural Organic Matter from Forested Wetlands - Implication of Mercury and Carbon Cycling in Coastal Blackwater Rivers,03/15/2016,02/28/2017,49961,Standard Grant,03/08/2016,03/08/2016,,1617040,Enriqueta Barrera,06030000,Directorate For Geosciences,Directorate For Geosciences,Clemson University,CLEMSON,296340001,8646562424,300 BRACKETT HALL,United States,South Carolina,SC
Advancing Mechanistic Understanding of Two-Fluid-Phase Flow in Porous Medium Systems,04/01/2016,03/31/2019,460762,Standard Grant,04/05/2016,04/05/2016,,1619767,Thomas Burbey,06030000,Directorate For Geosciences,Directorate For Geosciences,University of North Carolina at Chapel Hill,CHAPEL HILL,275991350,9199663411,104 AIRPORT DR STE 2200,United States,North Carolina,NC
I-Corps Teams: Pathways to Market of Piezoelectric Elastomer Composites for Additive Manufacturing of Flexible 3D Conformal Acoustic Emission and Ultrasonic Transducer Arrays,12/15/2015,07/31/2016,50000,Standard Grant,12/08/2015,12/08/2015,,1606755,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of South Florida,Tampa,336129446,8139742897,3702 Spectrum Blvd.,United States,Florida,FL
"Model-Theoretic Classification, Graph Combinatorics, and Topological Dynamics",07/01/2016,06/30/2019,57939,Continuing grant,03/17/2016,03/17/2016,,1600796,Tomek Bartoszynski,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of California-Los Angeles,LOS ANGELES,900952000,3107940102,"11000 Kinross Avenue, Suite 211",United States,California,CA
"DISSERTATION RESEARCH: Investigating the evolution of phalangerid marsupials in Sulawesi by incorporating morphology, molecular phylogenomics and biogeographical modeling",06/01/2016,05/31/2018,16390,Standard Grant,03/15/2016,03/15/2016,,1600899,Simon Malcomber,08010206,Direct For Biological Sciences,Direct For Biological Sciences,George Mason University,FAIRFAX,220304422,7039932295,4400 UNIVERSITY DR,United States,Virginia,VA
I-Corps: Image-based System for Crop Management,04/01/2016,09/30/2016,50000,Standard Grant,03/31/2016,03/31/2016,,1636765,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Carnegie-Mellon University,PITTSBURGH,152133815,4122689527,5000 Forbes Avenue,United States,Pennsylvania,PA
National Ecological Observatory Network: Construction and Transition,04/01/2016,03/31/2018,1635722,Cooperative Agreement,04/01/2016,04/01/2016,,1638695,Steven Ellis,08080000,Direct For Biological Sciences,Direct For Biological Sciences,Battelle Memorial Institute,COLUMBUS,432012693,6144247086,505 KING AVE,United States,Ohio,OH
AF:Chaining methods and their applications to computer science,04/01/2016,03/31/2017,10000,Standard Grant,02/22/2016,02/22/2016,,1618373,Tracy J. Kimbrel,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Harvard University,Cambridge,021385366,6174955501,1033 MASSACHUSETTS AVE,United States,Massachusetts,MA
TWC: Small: Collaborative: A Unifying Framework For Theoretical and Empirical Analysis of Secure Communication Protocols,10/01/2015,07/31/2017,205168,Standard Grant,11/05/2015,11/05/2015,,1600266,Nina Amla,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Northeastern University,BOSTON,021155005,6173732508,360 HUNTINGTON AVE,United States,Massachusetts,MA
"DISSERTATION RESEARCH: Quantifying the tempo of genome theft in polyploid, female-only Ambystoma salamanders",07/01/2016,06/30/2017,17490,Standard Grant,04/04/2016,04/04/2016,,1600655,Janice Bossart,08010207,Direct For Biological Sciences,Direct For Biological Sciences,Ohio State University,Columbus,432101016,6146888735,Office of Sponsored Programs,United States,Ohio,OH
"DISSERTATION RESEARCH: Integrative Taxonomy and Species Delimitation of Hakes (Merluccius, Merlucciidae)",06/01/2016,05/31/2017,18685,Standard Grant,03/15/2016,03/15/2016,,1601433,Joseph Miller,08010206,Direct For Biological Sciences,Direct For Biological Sciences,College of William & Mary Virginia Institute of Marine Science,Gloucester Point,230621346,8046847000,P.O. Box 1346,United States,Virginia,VA
Proof Theory: Finite Data from Infinite Mathematics,09/01/2016,08/31/2019,42824,Continuing grant,03/10/2016,03/10/2016,,1600263,Tomek Bartoszynski,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Pennsylvania,Philadelphia,191046205,2158987293,Research Services,United States,Pennsylvania,PA
I-CORPS: First Person Visual Analytics,02/15/2016,07/31/2016,50000,Standard Grant,02/05/2016,02/05/2016,,1600474,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Georgia Tech Research Corporation,Atlanta,303320420,4048944819,Office of Sponsored Programs,United States,Georgia,GA
Dissertation Research: Detecting introgression in the presence of incomplete lineage sorting: phylogenomics and hybridization in Chylismia (Onagraceae),07/01/2016,06/30/2017,20410,Standard Grant,03/17/2016,03/17/2016,,1601402,J. Gordon Burleigh,08010206,Direct For Biological Sciences,Direct For Biological Sciences,University of California-Berkeley,BERKELEY,947045940,5106428109,Sponsored Projects Office,United States,California,CA
"Dissertation Research: Molecular Systematics of Porroglossum orchids: Phylogenetics, Floral Snap-Trap Kinematics, and Fragrance",05/01/2016,04/30/2018,19575,Standard Grant,03/17/2016,03/17/2016,,1601041,J. Gordon Burleigh,08010206,Direct For Biological Sciences,Direct For Biological Sciences,University of Wisconsin-Madison,MADISON,537151218,6082623822,21 North Park Street,United States,Wisconsin,WI
Patching the Pipeline: Scholarships for Associate-Degree Transfer Students in the Sciences,06/30/2015,07/31/2018,532814,Standard Grant,04/04/2016,04/04/2016,,1623723,Paul Tymann,11040000,Direct For Education and Human Resources,Direct For Education and Human Resources,Kennesaw State University Research and Service Foundation,Kennesaw,301445591,4705786381,1000 Chastain Road,United States,Georgia,GA
Scholars Award: An Investigation of the Technoscientific Flexibility of Research Infrastructure,11/12/2015,06/30/2016,95649,Standard Grant,01/28/2016,01/28/2016,,1624024,Frederick M Kronz,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",University of Washington,Seattle,981950001,2065434043,4333 Brooklyn Ave NE,United States,Washington,WA
